Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	28441	531.31	33056	33068	33108	-1	0	32817	33342	33108	1.4304E+07	3.986	126	2.4856E+09	1.4313E+07	3.5881E+06	1.41E+07	4169	1.3256E+09	33097	42.3	0.01135	0.2465	16
485810	28442	474.28	33069	33070	32910	-1	0	32739	33160	32910	8.7382E+08	233.2	95	8.7485E+10	5.7057E+06	3.7464E+06	1.84E+07	4152	8.6356E+10	32909	36.5	0.196	0.2353	16
485810	28443	753.78	33069	33071	33108	-1	0	32858	33316	33108	3.1553E+07	169	70	2.6884E+09	1.7487E+07	186715	707665	2075	2.4468E+09	33103	33.5	-0.0009279	0.2494	14
485810	28444	543.82	33069	33072	33082	-1	0	32910	33264	33082	2.6239E+07	30.28	74	2.1204E+09	2.4364E+07	866584	2.9E+06	4149	1.9213E+09	33086	30.1	0.06956	0.2665	12
485810	28445	776.42	33069	33073	33082	-1	0	32897	33409	33082	1.3009E+07	34.17	168	2.1009E+09	1.2815E+07	380710	1.34E+06	2075	1.9735E+09	33136	61.3	0.2352	0.419	21
485810	28446	681.09	33069	33074	33147	-1	0	32952	33381	33147	1.966E+08	912	82	1.6472E+10	1.787E+07	215564	1.44E+06	2080	1.6216E+10	33145	31.8	0.01979	0.2615	13
485810	28447	995.08	33069	33075	33095	-1	0	32991	33251	33095	1.0969E+07	1389	79	9.8916E+08	8.866E+06	7895.4	87280	2081	9.6601E+08	33099	35.3	0.1229	0.2494	14
485810	28448	439.28	33069	33076	33134	-1	0	33004	33264	33134	5.6031E+07	24.77	72	3.8661E+09	9.7941E+06	2.2619E+06	1.88E+07	4166	3.4515E+09	33138	32.3	-0.04622	0.2575	13
485810	28449	1034.56	33069	33077	33108	-1	0	32991	33212	33108	1.2079E+07	768.2	67	9.0574E+08	7.8006E+06	15724	196024	4159	9.0583E+08	33103	33.4	-0.00125	0.2564	14
485810	28450	434.77	33069	33078	33134	-1	0	33004	33316	33134	8.7612E+07	239.2	61	7.0968E+09	1.1756E+07	366286	2.8E+06	6256	6.8685E+09	33139	32.3	0.1914	0.2575	13
