Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
485810	32000	68.5775	2	1.0476E+07	385486	239.1145	136	1508	9090	HCD-HMSn
485810	32001	68.5786	2	1.1585E+07	1.7609E+06	489.3614	324.1	808	4843	HCD-HMSn
485810	32002	68.5798	2	6.7827E+06	834020	120.0813	253.2	693	3590	HCD-HMSn
485810	32003	68.5817	2	7.4448E+06	833066	473.3302	435.4	1314	6909	HCD-HMSn
485810	32004	68.5835	1	7.8681E+09	3.8788E+08	535.7937	789.5	27220	27220	HMS
485810	32005	68.5879	2	6.5041E+07	4.0785E+06	760.4462	110.6	604	3320	HCD-HMSn
485810	32006	68.5891	2	3.4263E+07	1.3209E+06	376.2764	154.2	1604	9485	HCD-HMSn
485810	32007	68.5903	2	1.6565E+07	1.2061E+06	230.1707	171.2	839	4561	HCD-HMSn
485810	32008	68.5915	2	1.9871E+07	1.3995E+06	129.1314	158.8	825	4682	HCD-HMSn
485810	32009	68.5927	2	5.1126E+07	2.4339E+06	376.2765	144.4	1325	7792	HCD-HMSn
485810	32010	68.5939	2	4.5778E+07	1.3025E+06	120.0812	95.09	1364	7427	HCD-HMSn
485810	32011	68.5952	2	1.1598E+07	702924	110.0718	219.6	1276	8211	HCD-HMSn
485810	32012	68.5966	2	1.4444E+07	713706	771.4527	204.8	1505	9528	HCD-HMSn
485810	32013	68.5983	2	9.6959E+06	398166	730.4514	146.9	1742	10814	HCD-HMSn
485810	32014	68.6005	2	1.1069E+07	1.0575E+06	526.8756	501.8	1921	11399	HCD-HMSn
485810	32015	68.6017	2	1.3222E+07	1.0986E+06	471.9492	308.9	993	5240	HCD-HMSn
485810	32016	68.6041	2	8.4508E+06	1.5053E+06	433.2979	914.8	995	4881	HCD-HMSn
485810	32017	68.6059	1	8.422E+09	5.2607E+08	696.432	928.8	24204	24204	HMS
485810	32018	68.6103	2	1.5254E+07	636818	230.1709	248.1	2120	12587	HCD-HMSn
485810	32019	68.6115	2	1.719E+07	651156	230.1708	125.4	1500	8891	HCD-HMSn
485810	32020	68.6136	2	9.7911E+06	714629	901.8065	310.7	1444	8729	HCD-HMSn
485810	32021	68.6158	2	1.026E+07	403343	596.4079	210.8	1895	11626	HCD-HMSn
485810	32022	68.6191	2	3.6373E+06	170157	376.2767	185.5	1329	6636	HCD-HMSn
485810	32023	68.6224	2	4.8229E+06	206505	120.0813	182.9	1769	9732	HCD-HMSn
485810	32024	68.6252	2	5.9203E+06	275958	248.1816	201.5	1883	13164	HCD-HMSn
485810	32025	68.6280	2	5.5167E+06	247146	755.4283	184.1	1711	12138	HCD-HMSn
485810	32026	68.6308	2	6.2832E+06	176690	127.132	124.6	1772	11732	HCD-HMSn
485810	32027	68.6335	2	5.1922E+06	313943	819.4779	245.2	1366	9162	HCD-HMSn
485810	32028	68.6366	2	3.1682E+06	116270	127.1316	118.8	1158	8413	HCD-HMSn
485810	32029	68.6384	1	1.1863E+10	1.3043E+09	696.4314	1959	22502	22502	HMS
485810	32030	68.6429	2	1.3824E+07	362270	822.4694	98.24	1443	9389	HCD-HMSn
485810	32031	68.6440	2	3.7586E+07	1.8041E+06	776.943	98.74	906	5946	HCD-HMSn
485810	32032	68.6458	1	1.0138E+10	1.1522E+09	696.4317	1942	21736	21736	HMS
485810	32033	68.6503	2	4.5906E+07	6.8016E+06	635.8484	387.7	730	4268	HCD-HMSn
485810	32034	68.6514	2	2.5984E+07	3.3497E+06	400.2765	235.1	544	2907	HCD-HMSn
485810	32035	68.6526	2	8.8912E+07	1.0409E+07	136.076	201.4	600	3069	HCD-HMSn
485810	32036	68.6538	2	4.9084E+07	3.0179E+06	775.1312	257.7	1213	6823	HCD-HMSn
485810	32037	68.6550	2	5.3539E+07	3.2746E+06	593.3292	155.5	835	4362	HCD-HMSn
485810	32038	68.6562	2	3.7487E+07	4.9631E+06	272.1722	599.4	1276	7184	HCD-HMSn
485810	32039	68.6573	2	2.1283E+07	2.906E+06	120.0813	267	587	3207	HCD-HMSn
485810	32040	68.6585	2	7.96E+06	326264	319.1606	67.02	631	3334	HCD-HMSn
485810	32041	68.6597	2	9.5622E+07	1.0073E+07	761.46	301.2	748	4205	HCD-HMSn
485810	32042	68.6614	2	1.4083E+07	643823	120.0813	231.1	1663	9127	HCD-HMSn
485810	32043	68.6626	2	7.0491E+06	612748	442.3236	224	964	6120	HCD-HMSn
485810	32044	68.6642	2	7.1963E+06	327437	689.3626	137.3	1086	7007	HCD-HMSn
485810	32045	68.6660	1	1.038E+10	1.376E+09	696.4309	2308	19616	19616	HMS
485810	32046	68.6704	2	1.3083E+07	571464	230.1708	230.9	1548	10027	HCD-HMSn
485810	32047	68.6721	2	1.1332E+07	421585	764.0163	153.9	1615	9930	HCD-HMSn
485810	32048	68.6733	2	3.6153E+07	6.4369E+06	133.0863	320.9	674	3451	HCD-HMSn
485810	32049	68.6744	2	1.3849E+07	950116	133.0863	115.1	663	4322	HCD-HMSn
485810	32050	68.6756	2	1.1641E+07	706848	120.0812	179.4	1143	6702	HCD-HMSn
485810	32051	68.6771	2	2.4985E+06	556521	133.0863	308.2	461	2248	HCD-HMSn
485810	32052	68.6782	2	6.4239E+07	2.4003E+06	676.3886	125.6	1110	6309	HCD-HMSn
485810	32053	68.6794	2	2.7855E+07	1.6651E+06	737.4263	292.1	1803	11215	HCD-HMSn
485810	32054	68.6806	2	1.4347E+07	665236	120.0812	142.3	1017	6260	HCD-HMSn
485810	32055	68.6820	2	2.9391E+07	1.2408E+06	120.0813	252.3	2287	12755	HCD-HMSn
485810	32056	68.6832	2	4.0358E+06	865771	133.0863	279	447	1866	HCD-HMSn
485810	32057	68.6849	2	1.5337E+07	740582	248.1814	254.7	2110	12681	HCD-HMSn
485810	32058	68.6867	1	1.2716E+10	1.8427E+09	696.4316	2642	19827	19827	HMS
485810	32059	68.6912	2	3.1401E+07	1.1486E+06	110.0718	146.1	1472	8393	HCD-HMSn
485810	32060	68.6928	2	1.1552E+07	637330	702.8813	251.9	1489	9127	HCD-HMSn
485810	32061	68.6940	2	1.4514E+07	1.0359E+06	136.0761	179.6	934	5274	HCD-HMSn
485810	32062	68.6952	2	8.6431E+06	912255	502.8275	163	517	2908	HCD-HMSn
485810	32063	68.6966	2	1.6641E+07	580746	248.1814	178.5	1762	10623	HCD-HMSn
485810	32064	68.6981	2	1.1988E+07	423293	248.1814	141.4	1637	10452	HCD-HMSn
485810	32065	68.6998	2	1.2442E+07	576701	120.0813	217.5	1858	10566	HCD-HMSn
485810	32066	68.7014	2	1.4883E+07	634408	131.1386	223.9	1639	10079	HCD-HMSn
485810	32067	68.7029	2	7.562E+06	866852	272.1723	351.9	1014	6512	HCD-HMSn
485810	32068	68.7041	2	5.2448E+06	197683	442.3238	59.71	679	3876	HCD-HMSn
485810	32069	68.7061	2	7.6523E+06	898873	749.4774	413.9	1131	6414	HCD-HMSn
485810	32070	68.7078	2	1.0537E+07	415994	248.1814	175.8	1658	10265	HCD-HMSn
485810	32071	68.7096	1	1.3251E+10	1.9764E+09	696.4306	2630	18091	18091	HMS
485810	32072	68.7141	2	5.9678E+08	6.1211E+07	768.4441	196.2	564	2897	HCD-HMSn
485810	32073	68.7157	2	1.1299E+07	490436	120.0813	177.1	1690	10617	HCD-HMSn
485810	32074	68.7169	2	2.3565E+07	1.5731E+06	625.3835	187.9	818	5141	HCD-HMSn
485810	32075	68.7184	2	1.801E+07	1.1466E+06	593.4236	380.9	1590	9328	HCD-HMSn
485810	32076	68.7196	2	6.8864E+07	5.671E+06	581.0031	232.9	903	4668	HCD-HMSn
485810	32077	68.7208	2	3.4881E+07	2.3792E+06	110.0718	336.2	1912	10836	HCD-HMSn
485810	32078	68.7220	2	3.7769E+07	1.3964E+06	248.1813	185.6	1960	11282	HCD-HMSn
485810	32079	68.7234	2	1.3441E+07	1.6013E+06	795.482	502	1003	6168	HCD-HMSn
485810	32080	68.7249	2	1.8043E+07	805365	120.0813	233	2069	11909	HCD-HMSn
485810	32081	68.7264	2	1.0443E+07	682326	717.4582	245	1288	8825	HCD-HMSn
485810	32082	68.7280	2	3.9987E+06	88313	685.4176	44.21	895	6255	HCD-HMSn
485810	32083	68.7292	2	1.2298E+07	1.1675E+06	136.076	298.7	794	3702	HCD-HMSn
485810	32084	68.7310	1	1.4168E+10	2.1245E+09	696.4317	3153	20999	20999	HMS
485810	32085	68.7354	2	8.9288E+06	338473	248.1814	130.4	1610	10487	HCD-HMSn
485810	32086	68.7372	2	5.6978E+06	323419	133.0864	171.6	934	6042	HCD-HMSn
485810	32087	68.7392	2	1.3697E+07	1.1497E+06	649.3926	514.7	1758	10327	HCD-HMSn
485810	32088	68.7404	2	3.5646E+07	1.352E+06	120.0812	124.3	1207	6608	HCD-HMSn
485810	32089	68.7420	2	8.9676E+06	612860	526.8751	269.5	1263	7576	HCD-HMSn
485810	32090	68.7436	2	1.9087E+07	794871	110.0718	235	2165	12711	HCD-HMSn
485810	32091	68.7451	2	2.1155E+07	627512	585.0145	167.1	2373	13787	HCD-HMSn
485810	32092	68.7467	2	1.3087E+07	996742	891.4346	298	1355	7660	HCD-HMSn
485810	32093	68.7483	2	1.7504E+07	778920	248.1814	238.9	1889	10977	HCD-HMSn
485810	32094	68.7498	2	1.2268E+07	493817	248.1814	156.9	1763	11870	HCD-HMSn
485810	32095	68.7515	2	4.9294E+06	167542	376.2767	87.71	1014	6962	HCD-HMSn
485810	32096	68.7533	2	1.0897E+07	399966	248.1814	158	1949	12214	HCD-HMSn
485810	32097	68.7551	1	1.3172E+10	1.9441E+09	696.4315	2701	19325	19325	HMS
485810	32098	68.7595	2	6.454E+06	132229	836.4398	58.76	1370	8396	HCD-HMSn
485810	32099	68.7613	2	6.857E+06	305812	133.0864	136	1398	8829	HCD-HMSn
485810	32100	68.7625	2	3.397E+07	2.6595E+06	519.8197	98.22	507	2505	HCD-HMSn
485810	32101	68.7637	2	2.7423E+07	997516	747.8952	171.2	1658	9615	HCD-HMSn
485810	32102	68.7651	2	9.2545E+06	414703	672.4237	148	1361	9064	HCD-HMSn
485810	32103	68.7667	2	1.2655E+07	684703	743.469	219.9	1657	10585	HCD-HMSn
485810	32104	68.7686	2	1.0123E+07	471528	120.0813	206.7	1846	11793	HCD-HMSn
485810	32105	68.7709	2	2.7754E+06	491295	215.1395	365.7	906	5802	HCD-HMSn
485810	32106	68.7727	2	1.0341E+07	727134	755.4294	308.1	1473	8905	HCD-HMSn
485810	32107	68.7745	1	1.3739E+10	1.9906E+09	696.4313	2695	20244	20244	HMS
485810	32108	68.7790	2	9.2247E+06	535833	248.1814	284	1416	9448	HCD-HMSn
485810	32109	68.7815	2	8.5267E+06	411660	248.1814	252	1977	12683	HCD-HMSn
485810	32110	68.7826	2	3.1283E+07	1.541E+06	131.1385	116.1	738	4452	HCD-HMSn
485810	32111	68.7838	2	1.9708E+07	1.5033E+06	586.8732	241.8	962	5743	HCD-HMSn
485810	32112	68.7857	2	8.8678E+06	509411	503.3121	258	1347	7264	HCD-HMSn
485810	32113	68.7882	2	8.0083E+06	1.9422E+06	547.3451	1330	920	4716	HCD-HMSn
485810	32114	68.7894	2	2.7174E+07	983053	120.0812	166.8	1682	9513	HCD-HMSn
485810	32115	68.7906	2	1.948E+07	819967	248.1813	183.5	1821	11130	HCD-HMSn
485810	32116	68.7918	2	3.2221E+07	1.6201E+06	703.4395	122.1	913	5471	HCD-HMSn
485810	32117	68.7933	2	1.0531E+07	355773	284.1246	113.5	1443	8459	HCD-HMSn
485810	32118	68.7945	2	1.9394E+07	715369	120.0813	126.9	1291	7631	HCD-HMSn
485810	32119	68.7961	2	9.5758E+06	506998	248.1815	186.3	1727	11437	HCD-HMSn
485810	32120	68.7979	1	1.5529E+10	2.1171E+09	696.4321	2936	22991	22991	HMS
485810	32121	68.8023	2	1.6129E+07	802844	110.0718	125.5	1078	6503	HCD-HMSn
485810	32122	68.8035	2	2.032E+07	716272	248.1813	123	1252	7483	HCD-HMSn
485810	32123	68.8047	2	4.9181E+07	3.5771E+06	564.3565	119.5	638	3547	HCD-HMSn
485810	32124	68.8059	2	3.9128E+07	1.3809E+06	248.1813	109.6	1528	9561	HCD-HMSn
485810	32125	68.8074	2	9.8733E+06	582329	755.4291	208.9	1234	7951	HCD-HMSn
485810	32126	68.8086	2	4.8102E+07	2.6325E+06	473.3296	209.5	1194	6740	HCD-HMSn
485810	32127	68.8098	2	1.4786E+07	1.5177E+06	489.3607	302.3	944	5517	HCD-HMSn
485810	32128	68.8109	2	2.111E+07	987218	120.0812	167.7	1320	7986	HCD-HMSn
485810	32129	68.8121	2	1.5579E+07	1.2667E+06	473.3283	249.8	831	4407	HCD-HMSn
485810	32130	68.8136	2	1.5901E+07	1.0851E+06	127.1322	320.5	1718	10404	HCD-HMSn
485810	32131	68.8153	2	1.6021E+07	837712	110.0718	275.5	2006	12451	HCD-HMSn
485810	32132	68.8164	2	1.4542E+07	568090	120.0812	122.5	1159	6818	HCD-HMSn
485810	32133	68.8182	1	1.5073E+10	1.9215E+09	696.4319	2541	22422	22422	HMS
485810	32134	68.8226	2	5.6257E+06	367423	230.1708	263.9	1372	7814	HCD-HMSn
485810	32135	68.8244	2	1.0584E+07	736904	807.4699	289.7	1452	9452	HCD-HMSn
485810	32136	68.8256	2	7.6544E+07	5.7583E+06	232.1407	163.1	724	3918	HCD-HMSn
485810	32137	68.8267	2	4.4313E+07	1.3562E+06	110.0718	170.1	1868	10593	HCD-HMSn
485810	32138	68.8279	2	4.9838E+07	1.8092E+06	248.1812	138.1	1718	10680	HCD-HMSn
485810	32139	68.8291	2	2.667E+07	1.456E+06	732.4504	158.9	980	5540	HCD-HMSn
485810	32140	68.8303	2	3.0327E+07	1.0335E+06	550.3297	145.2	1812	10688	HCD-HMSn
485810	32141	68.8316	2	9.444E+06	527377	376.2765	169.1	1147	6345	HCD-HMSn
485810	32142	68.8329	2	1.9066E+07	1.0905E+06	110.0718	270.4	1782	10753	HCD-HMSn
485810	32143	68.8344	2	9.5624E+06	414542	865.9656	148.4	1300	8369	HCD-HMSn
485810	32144	68.8361	2	6.9094E+06	326744	446.2489	143.7	1155	7303	HCD-HMSn
485810	32145	68.8378	2	4.6292E+06	211345	852.4769	108.3	956	6659	HCD-HMSn
485810	32146	68.8395	1	1.2613E+10	1.4713E+09	696.4319	2346	23274	23274	HMS
485810	32147	68.8440	2	4.6482E+06	338584	964.4646	187.9	989	5783	HCD-HMSn
485810	32148	68.8457	2	8.1685E+06	572448	833.4916	254.7	1136	7080	HCD-HMSn
485810	32149	68.8469	2	1.1216E+08	1.0717E+07	592.7144	161.8	567	2756	HCD-HMSn
485810	32150	68.8487	2	1.0898E+07	707048	797.4908	278	1571	10030	HCD-HMSn
485810	32151	68.8511	2	6.3273E+06	256284	230.1708	178.4	1550	9749	HCD-HMSn
485810	32152	68.8523	2	3.1736E+07	2.5E+06	376.2764	136.8	640	3154	HCD-HMSn
485810	32153	68.8535	2	1.9465E+07	899879	546.383	101.5	771	4738	HCD-HMSn
485810	32154	68.8551	2	1.3686E+07	1.5218E+06	537.3105	587.1	1509	8882	HCD-HMSn
485810	32155	68.8568	2	1.0011E+07	1.2948E+06	605.2702	507.6	1612	10586	HCD-HMSn
485810	32156	68.8586	2	6.4115E+06	356712	844.4835	165.4	964	6233	HCD-HMSn
485810	32157	68.8606	2	8.7368E+06	470547	110.0718	235	1738	10366	HCD-HMSn
485810	32158	68.8625	2	8.0464E+06	263356	248.1814	120.7	1670	10999	HCD-HMSn
485810	32159	68.8642	1	1.263E+10	1.2975E+09	696.4313	1944	22166	22166	HMS
485810	32160	68.8687	2	2.8582E+08	2.1318E+07	442.3236	124.6	581	2770	HCD-HMSn
485810	32161	68.8706	2	1.1266E+07	430740	110.0718	176.8	1924	11653	HCD-HMSn
485810	32162	68.8718	2	3.3582E+07	2.1712E+06	136.076	171.7	982	5088	HCD-HMSn
485810	32163	68.8730	2	1.8362E+07	1.4463E+06	110.0717	169.6	853	4756	HCD-HMSn
485810	32164	68.8742	2	2.0544E+07	2.7943E+06	468.8004	443	762	4111	HCD-HMSn
485810	32165	68.8754	2	2.1884E+07	645754	230.1708	147.6	1744	10421	HCD-HMSn
485810	32166	68.8768	2	1.7625E+07	664999	248.1814	157.8	1790	11153	HCD-HMSn
485810	32167	68.8780	2	1.9063E+07	597145	248.1813	74.76	1067	6611	HCD-HMSn
485810	32168	68.8794	2	2.1227E+07	674423	779.4394	162.8	1900	11188	HCD-HMSn
485810	32169	68.8809	2	1.2101E+07	390713	126.1283	129.8	1724	11425	HCD-HMSn
485810	32170	68.8825	2	1.4269E+07	562891	248.1813	174	1884	11264	HCD-HMSn
485810	32171	68.8843	2	1.5193E+07	621901	248.1814	209.7	2186	13111	HCD-HMSn
485810	32172	68.8860	1	1.2984E+10	1.1576E+09	696.4317	1942	25592	25592	HMS
485810	32173	68.8905	2	1.1006E+07	367327	248.1814	150.9	1581	10111	HCD-HMSn
485810	32174	68.8929	2	1.0951E+07	679233	1056.5592	291.2	1622	9760	HCD-HMSn
485810	32175	68.8941	2	9.5359E+07	2.3383E+07	536.3065	813.3	907	4763	HCD-HMSn
485810	32176	68.8952	2	1.0774E+07	810360	230.1706	164.4	819	4851	HCD-HMSn
485810	32177	68.8964	2	1.8512E+07	689128	129.1313	145.3	1561	9901	HCD-HMSn
485810	32178	68.8979	2	2.3757E+07	1.0755E+06	512.8509	250.6	1943	10163	HCD-HMSn
485810	32179	68.8992	2	1.026E+07	767642	473.2619	260.8	1050	5544	HCD-HMSn
485810	32180	68.9003	2	8.5616E+06	889859	496.3299	251.3	848	4272	HCD-HMSn
485810	32181	68.9021	2	9.3175E+06	376210	456.3395	183.8	1564	9796	HCD-HMSn
485810	32182	68.9038	2	1.0611E+07	413615	871.4554	143.2	1497	8940	HCD-HMSn
485810	32183	68.9055	2	6.1412E+06	176254	120.0812	83.29	1151	6592	HCD-HMSn
485810	32184	68.9072	2	9.5646E+06	903016	749.4401	369	1406	9841	HCD-HMSn
485810	32185	68.9089	1	1.4264E+10	1.1277E+09	696.4317	1491	23337	23337	HMS
485810	32186	68.9134	2	5.2357E+07	2.2258E+06	702.4002	169.2	1352	7575	HCD-HMSn
485810	32187	68.9151	2	7.4914E+06	360804	230.1142	167.3	1349	9087	HCD-HMSn
485810	32188	68.9163	2	3.1096E+07	1.7744E+06	721.3226	131.5	901	5520	HCD-HMSn
485810	32189	68.9175	2	1.809E+07	473200	673.4035	94.21	1626	9490	HCD-HMSn
485810	32190	68.9187	2	1.346E+07	659091	230.1707	113.1	810	5430	HCD-HMSn
