Dataset	ScanNumber	Collision Mode	ParentIonMZ	BasePeakIntensity	BasePeakMZ	ReporterIonIntensityMax	Ion_126.128	Ion_127.125	Ion_127.131	Ion_128.128	Ion_128.134	Ion_129.131	Ion_129.138	Ion_130.135	Ion_130.141	Ion_131.138	Weighted Avg Pct Intensity Correction
485810	32000	hcd	884	385486.16	239.1145	119366.45	67790.45	42797.05	99298.64	59017.15	62080.18	119366.45	28445.03	55734.32	52867.92	56347.16	0
485810	32001	hcd	488.28	1760907.12	489.3614	217221.95	217221.95	162343.92	124569.33	192947.53	93769	67211.88	140086.69	151737.12	95305.18	208103.88	0
485810	32002	hcd	451.62	834019.81	120.0813	120504.41	41585.77	59901.32	120504.41	70553.4	75827.99	29507.4	69406.41	67661.21	44119.05	94767.86	0
485810	32003	hcd	474.31	833066.31	473.3302	118219.55	98123.66	79311.2	90091.03	105286.27	65572.24	112709.36	51022.97	90575.12	63149.76	118219.55	0
485810	32005	hcd	760.45	4078518.5	760.4462	3069234.25	3069234.25	469760.28	2166053	506913.16	1248432	630449.06	2514620.5	593548.88	921965.19	952089.38	0
485810	32006	hcd	920.51	1320913.12	376.2764	546575.06	78116.39	451348.25	88944.43	499911.31	65481.36	111939.82	73861.48	382405.81	143156.66	546575.06	0
485810	32007	hcd	499.56	1206065.5	230.1707	252359.25	155835.53	121061.84	63462.51	134019.77	90761.62	164119.83	37999.11	77284.2	252359.25	153751.03	0
485810	32008	hcd	604.4	1399525.62	129.1314	1353741.12	762822.5	436789.84	330039.56	459592.78	404271.44	1353741.12	167658.44	457213.28	346536.19	569946.62	0
485810	32009	hcd	690.63	2433873.75	376.2765	595856.25	188963.97	481246.53	179618.14	569529.75	114612.5	228308.2	102237.5	457766.03	201831.78	595856.25	0
485810	32010	hcd	720.56	1302508.88	120.0812	576754.25	179796.09	145377.66	576754.25	342838.62	153886.06	251559.52	61592.34	197821.28	211366.42	345328.53	0
485810	32011	hcd	685.36	702923.94	110.0718	298221.5	193322.62	112343.36	141068.64	134390.25	133026.66	298221.5	64078.36	122691.67	128533.09	161535.53	0
485810	32012	hcd	771.13	713706.12	771.4527	454961.06	454961.06	180744.17	254086.45	246530.92	155071.92	254280.64	76908.99	214458.2	150383.03	286777.94	0
485810	32013	hcd	730.38	398165.75	730.4514	123637.55	108997.98	66777.55	82056.5	91499.6	68920.65	123637.55	40417.38	78223.12	52708.07	104380.88	0
485810	32014	hcd	527.58	1057455.25	526.8756	152028.11	133744.94	63681.38	134163.39	59165.21	104215.59	152028.11	61327.87	69264.44	62427.69	95670.72	0
485810	32015	hcd	471.95	1098640.38	471.9492	760215.62	308431.12	279235.41	67326.57	306056.5	61722.83	760215.62	120294.88	255004.73	182307.45	314430.69	0
485810	32016	hcd	431.94	1505347	433.2979	181035.09	143491.67	94206.56	127395.23	117133.51	81097.83	181035.09	25439.74	107943.5	75472.38	115498	0
485810	32018	hcd	666.35	636818.19	230.1709	475985.41	475985.41	147206.44	311843.31	210805.14	239584.06	276690.06	189932.59	165766.12	218132.11	255100.06	0
485810	32019	hcd	609.78	651156.25	230.1708	287617.69	287617.69	92596.1	185632.95	106750.44	188214.69	186866.3	90496.48	96248.56	112548.76	166735.72	0
485810	32020	hcd	902.49	714629.06	901.8065	398837.22	111304.16	48209.02	354636.88	31272.79	398837.22	40768.87	212800.03	26991.47	80544.47	53756.61	0
485810	32021	hcd	596.09	403342.97	596.4079	252553.58	213817.5	112800.11	163506	116387.62	170540.58	252553.58	64396.44	108943.08	97770.95	154737.72	0
485810	32022	hcd	436.94	170157.48	376.2767	78732.99	30767.07	59475.49	41562.81	69616.55	30401.1	51903.05	21347.86	60194.46	29642.81	78732.99	0
485810	32023	hcd	453.84	206505.31	120.0813	52757.65	38257.53	37982.44	30422.82	41937.99	31709.19	41779.14	13918.71	36200.67	25991.13	52757.65	0
485810	32024	hcd	733.39	275958.19	248.1816	108988.51	107082.37	45778.79	93683.73	66194.67	68189.16	108988.51	34534.98	60531.45	56375.18	79219.55	0
485810	32025	hcd	755.16	247145.52	755.4283	109828.76	72960.79	34188.89	109828.76	45174.73	100323.62	53898.54	65208.7	47456.82	51307.52	68424.48	0
485810	32026	hcd	805.08	176690.44	127.132	172948.2	97066.01	70583.09	172948.2	110285.34	87537.63	79913.66	82623.36	99638.41	61121.36	128134.33	0
