Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
141805	6233	34.3301	2	95218	1491.2	876.1575	36.91	345	1224
141805	6234	34.33562	2	79978	1125.8	1103.762	29.18	335	1243
141805	6235	34.34101	1	2.2969E+07	301274	750.3257	24.56	1075	1075
141805	6236	34.34653	2	101390	1865.2	1277.5889	43.88	361	1314
141805	6237	34.35211	2	17335	1292.2	1564.0507	102.6	133	519
141805	6238	34.35806	2	76880	1191.8	811.4258	20.38	219	819
141805	6239	34.36304	2	87036	3135.4	1269.4103	91.1	330	1074
141805	6240	34.36859	2	68385	1092.7	920.0269	31.31	288	1088
141805	6241	34.37411	2	80572	1784.6	988.1145	41.28	257	932
141805	6242	34.37943	2	42494	312.65	1110.303	14.09	329	1221
141805	6243	34.38543	2	145751	8903.7	921.0742	138.2	290	1089
141805	6244	34.39048	2	65604	1233.7	794.842	32.25	253	912
141805	6245	34.39594	2	17284	349.72	736.2387	23.45	173	733
141805	6246	34.40195	1	2.7234E+07	386864	1099.5488	29.83	1127	1127
141805	6247	34.40757	2	214263	4975.7	1140.7798	66.93	335	1140
141805	6248	34.41267	2	138558	8612.2	848.4349	155.3	276	1029
141805	6249	34.4176	2	161921	3464	1573.3226	53.12	328	1149
141805	6250	34.42248	2	61679	13815	634.5548	333.6	115	384
141805	6251	34.42752	2	90307	5700.8	848.4313	170.8	318	1096
141805	6252	34.43274	2	76578	2544.1	891.744	77.88	310	1080
141805	6253	34.43822	2	641271	25620	912.4785	123.7	309	1074
141805	6254	34.44281	2	38254	1029.6	954.5792	44.25	237	824
141805	6255	34.44835	2	92927	4951.7	1590.6454	131.2	297	1205
141805	6256	34.45362	2	151244	9254.4	1199.9438	177	276	901
141805	6257	34.45855	1	2.8726E+07	444676	750.3126	36.43	1153	1153
141805	6258	34.4643	2	361527	22212	857.4811	142.1	166	508
141805	6259	34.46892	2	75279	2233.4	978.2971	63.96	240	880
141805	6260	34.4743	2	198683	18508	932.5578	138.5	137	480
141805	6261	34.47897	2	120379	3560.8	1592.653	62.28	292	1120
141805	6262	34.48393	2	109191	3007.9	921.8221	42.07	187	728
141805	6263	34.48883	2	93701	5807.3	1590.6776	158.4	338	1241
141805	6264	34.49434	2	198492	25099	1317.9224	346.2	261	959
141805	6265	34.49914	2	11716	206.42	1164.2219	16.81	143	612
141805	6266	34.50526	2	117243	7676.6	918.7288	179.9	328	1165
141805	6267	34.5108	2	57295	1132.2	739.7349	35.06	288	994
141805	6268	34.51654	1	2.8537E+07	716230	1099.26	50.64	1074	1074
141805	6269	34.52262	2	302767	31371	401.3458	177.2	124	385
141805	6270	34.52743	2	135711	7394	848.417	82.36	197	732
141805	6271	34.53224	2	137131	9927.6	818.7119	126.6	151	552
141805	6272	34.53702	2	156708	2644.6	1357.9127	36.58	327	1190
141805	6273	34.54204	2	124474	12051	826.1609	182.1	191	670
141805	6274	34.54696	2	337362	19024	857.4911	134.8	162	527
141805	6275	34.55162	2	63834	1140.3	491.4013	36.07	305	1075
141805	6276	34.55771	2	49171	861.18	1075.3206	28.17	257	992
141805	6277	34.56329	2	51770	3054.7	1195.3	122	265	952
141805	6278	34.56893	2	97439	3087.7	1264.1931	71.93	329	1144
141805	6279	34.57407	1	2.6985E+07	837125	1193.1804	60.83	1098	1098
141805	6280	34.58001	2	120257	2430.5	1236.4854	50.94	367	1174
