Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
141805	5336	1228.8	5993	6000	6048	-1	0	5817	6411	6048	114193	6.109	326	3.3527E+07	61392	18694	16231	817	2.1141E+07	6084	107	-0.1165	0.4681	42
141805	5337	842.74	5993	6001	6037	-1	0	5982	6103	6037	83901	3.197	79	9.6338E+06	65094	26240	37783	1685	6.1101E+06	6038	35.5	0.1194	0.266	14
141805	5338	1030.48	5993	6002	5894	5075	0	5718	6213	5773	155746	6.974	258	2.8123E+07	89642	22331	25741	1692	6.6772E+06	5770	26.1	-0.2804	0.3107	12
141805	5339	987.04	5993	6003	6389	-1	0	5960	6488	6389	132356	7.338	454	3.5755E+07	76837	18036	19975	1695	2.5632E+07	6245	141	-0.4053	0.7489	49
141805	5340	745.83	6004	6005	6279	5572	0	5707	6092	6015	189853	19.2	53	1.6883E+07	134277	9887.1	14159	1694	1.0684E+07	6012	23	0.0373	0.2788	11
141805	5341	758.11	6004	6006	6015	-1	0	5883	6202	6015	233904	19.05	23	1.4252E+07	140842	12282	15874	1692	9.4512E+06	6011	30.9	-0.7349	0.2796	15
141805	5342	831.77	6004	6007	6158	-1	0	5993	6345	6158	2.2169E+06	67.6	27	9.4996E+07	156380	32797	53575	1693	6.8920E+07	6161	20.2	0.0284	0.3104	10
141805	5343	956.09	6004	6008	6048	-1	0	5850	6356	6048	154914	8.814	89	2.5914E+07	109512	17577	19815	1694	1.5808E+07	6050	64	-0.1923	0.3604	29
141805	5344	1191.75	6004	6009	6103	5564	0	5916	6543	6114	942896	35.35	59	1.1890E+08	101985	26676	31651	823	7.4129E+07	6109	36.4	-0.5445	0.2444	18
141805	5345	1211.84	6004	6010	6004	-1	0	5850	6466	6004	96494	4.661	553	2.9668E+07	85274	20704	19870	815	1.5623E+07	6075	125	0.1389	0.6946	47
